well,od_600nm,time_s,temp_C,instrument,medium,sample,replicate
B11,0.0871,16214.211000000001,37.1,Tecan Spark,water,blank,0
B11,0.0871,16609.68,37.1,Tecan Spark,water,blank,0
B11,0.0871,17005.23,37.1,Tecan Spark,water,blank,0
B11,0.0871,17400.676,37.0,Tecan Spark,water,blank,0
B11,0.0872,17796.21,37.0,Tecan Spark,water,blank,0
B11,0.087,18191.621,37.0,Tecan Spark,water,blank,0
B11,0.0871,18586.988,37.1,Tecan Spark,water,blank,0
B11,0.0871,18982.522,37.1,Tecan Spark,water,blank,0
B11,0.0871,1582.207,37.1,Tecan Spark,water,blank,0
B11,0.0871,19377.974,37.1,Tecan Spark,water,blank,0
B11,0.0871,19773.387,37.1,Tecan Spark,water,blank,0
B11,0.0871,20168.877,37.0,Tecan Spark,water,blank,0
B11,0.0871,20564.348,37.1,Tecan Spark,water,blank,0
B11,0.087,20959.764,37.0,Tecan Spark,water,blank,0
B11,0.0871,21355.301,37.1,Tecan Spark,water,blank,0
B11,0.0871,21750.797000000002,37.1,Tecan Spark,water,blank,0
B11,0.0871,22146.206000000002,37.1,Tecan Spark,water,blank,0
B11,0.0871,22541.742000000002,37.1,Tecan Spark,water,blank,0
B11,0.0871,22937.279,37.0,Tecan Spark,water,blank,0
B11,0.0871,1977.7379999999998,37.0,Tecan Spark,water,blank,0
B11,0.0871,23332.647,37.0,Tecan Spark,water,blank,0
B11,0.0872,23728.11,37.0,Tecan Spark,water,blank,0
B11,0.0871,24123.597999999998,37.1,Tecan Spark,water,blank,0
B11,0.0871,24519.004,37.1,Tecan Spark,water,blank,0
B11,0.0871,24914.467,37.1,Tecan Spark,water,blank,0
B11,0.0871,25309.928,37.0,Tecan Spark,water,blank,0
B11,0.087,25705.367000000002,37.0,Tecan Spark,water,blank,0
B11,0.087,26100.841,37.0,Tecan Spark,water,blank,0
B11,0.087,26496.277000000002,37.1,Tecan Spark,water,blank,0
B11,0.087,26891.839,37.1,Tecan Spark,water,blank,0
B11,0.0871,2373.27,37.1,Tecan Spark,water,blank,0
B11,0.087,27287.325,37.1,Tecan Spark,water,blank,0
B11,0.0871,27682.724,37.1,Tecan Spark,water,blank,0
B11,0.0871,28078.257999999998,37.0,Tecan Spark,water,blank,0
B11,0.0872,28473.697,37.0,Tecan Spark,water,blank,0
B11,0.0872,28869.097999999998,37.0,Tecan Spark,water,blank,0
B11,0.0872,29264.577,37.1,Tecan Spark,water,blank,0
B11,0.0871,29660.071,37.1,Tecan Spark,water,blank,0
B11,0.0871,30055.482000000004,37.1,Tecan Spark,water,blank,0
B11,0.0871,30450.995,37.1,Tecan Spark,water,blank,0
B11,0.0871,30846.442000000003,37.1,Tecan Spark,water,blank,0
B11,0.0871,2768.6820000000002,37.1,Tecan Spark,water,blank,0
B11,0.0872,31241.981,37.0,Tecan Spark,water,blank,0
B11,0.0871,31637.388,37.0,Tecan Spark,water,blank,0
B11,0.0872,32032.757999999998,37.1,Tecan Spark,water,blank,0
B11,0.0871,32428.31,37.1,Tecan Spark,water,blank,0
B11,0.0871,32823.77,37.1,Tecan Spark,water,blank,0
B11,0.0871,33219.2,37.0,Tecan Spark,water,blank,0
B11,0.0871,33614.67,37.0,Tecan Spark,water,blank,0
B11,0.087,34010.167,37.0,Tecan Spark,water,blank,0
B11,0.0871,34405.619,37.0,Tecan Spark,water,blank,0
B11,0.0871,34801.155,37.0,Tecan Spark,water,blank,0
B11,0.087,3164.184,37.1,Tecan Spark,water,blank,0
B11,0.0871,35196.619,37.1,Tecan Spark,water,blank,0
B11,0.0871,35592.087999999996,37.1,Tecan Spark,water,blank,0
B11,0.0871,35987.535,37.1,Tecan Spark,water,blank,0
B11,0.0871,36382.976,37.0,Tecan Spark,water,blank,0
B11,0.0872,36778.53,37.0,Tecan Spark,water,blank,0
B11,0.087,37174.021,37.0,Tecan Spark,water,blank,0
B11,0.0871,37569.456,37.1,Tecan Spark,water,blank,0
B11,0.087,37964.917,37.1,Tecan Spark,water,blank,0
B11,0.0871,38360.365,37.1,Tecan Spark,water,blank,0
B11,0.0872,38755.791,37.0,Tecan Spark,water,blank,0
B2,0.0879,0.0,36.6,Tecan Spark,water,blank,0
B2,0.0878,3559.551,37.1,Tecan Spark,water,blank,0
B2,0.0879,39151.248,37.0,Tecan Spark,water,blank,0
B2,0.0879,39546.715,37.0,Tecan Spark,water,blank,0
B2,0.0879,39942.22,37.1,Tecan Spark,water,blank,0
B2,0.0878,40337.643,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,40733.094,37.1,Tecan Spark,water,blank,0
B2,0.0881,41128.647000000004,37.0,Tecan Spark,water,blank,0
B2,0.0881,41524.157999999996,37.0,Tecan Spark,water,blank,0
B2,0.0881,41919.574,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,42315.054000000004,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,42710.475,37.1,Tecan Spark,water,blank,0
B2,0.0879,3954.9770000000003,37.1,Tecan Spark,water,blank,0
B2,0.0879,43105.9,37.1,Tecan Spark,water,blank,0
B2,0.0877,43501.395,37.1,Tecan Spark,water,blank,0
B2,0.0878,43896.864,37.0,Tecan Spark,water,blank,0
B2,0.0879,44292.319,37.1,Tecan Spark,water,blank,0
B2,0.0878,44687.802,37.1,Tecan Spark,water,blank,0
B2,0.0881,45083.237,37.1,Tecan Spark,water,blank,0
B2,0.0881,45478.776,37.1,Tecan Spark,water,blank,0
B2,0.0881,45874.239,37.1,Tecan Spark,water,blank,0
B2,0.0881,46269.630999999994,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,46665.109000000004,37.0,Tecan Spark,water,blank,0
B2,0.0878,4350.436,37.0,Tecan Spark,water,blank,0
B2,0.0878,47060.475,37.0,Tecan Spark,water,blank,0
B2,0.0878,47455.916,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,47851.398,37.1,Tecan Spark,water,blank,0
B2,0.0878,48246.855,37.1,Tecan Spark,water,blank,0
B2,0.0878,48642.29,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,49037.852,37.0,Tecan Spark,water,blank,0
B2,0.0881,49433.335999999996,37.1,Tecan Spark,water,blank,0
B2,0.0881,49828.715,37.1,Tecan Spark,water,blank,0
B2,0.0881,50224.199,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,50619.715,37.1,Tecan Spark,water,blank,0
B2,0.0879,4745.875,37.1,Tecan Spark,water,blank,0
B2,0.0878,51015.10400000001,37.1,Tecan Spark,water,blank,0
B2,0.0878,51410.606,37.1,Tecan Spark,water,blank,0
B2,0.0878,51806.096,37.0,Tecan Spark,water,blank,0
B2,0.0879,52201.477999999996,37.1,Tecan Spark,water,blank,0
B2,0.0879,52597.013,37.0,Tecan Spark,water,blank,0
B2,0.0879,52992.488,37.0,Tecan Spark,water,blank,0
B2,0.08800000000000001,53387.867,37.0,Tecan Spark,water,blank,0
B2,0.0881,53783.367999999995,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,54178.846,37.1,Tecan Spark,water,blank,0
B2,0.0881,54574.263,37.0,Tecan Spark,water,blank,0
B2,0.08800000000000001,5141.345,37.1,Tecan Spark,water,blank,0
B2,0.08800000000000001,54969.791,37.1,Tecan Spark,water,blank,0
B2,0.0879,55365.273,37.0,Tecan Spark,water,blank,0
B2,0.0879,55760.647000000004,37.1,Tecan Spark,water,blank,0
