slope,intercept,sigma,buffer_base,compound,area_param
0.00723122,0.000147955,0.00649289,DM,acetate,rel_area_phosphate
0.00735936,0.00203085,0.00410106,DM,acetate,rel_area_phosphate
0.00709917,-0.000612965,0.0073788,DM,acetate,rel_area_phosphate
0.0072183,-0.00134902,0.00844635,DM,acetate,rel_area_phosphate
0.00734286,0.000510695,0.0029612,DM,acetate,rel_area_phosphate
0.00744023,-5.63163e-05,0.00263463,DM,acetate,rel_area_phosphate
0.00733336,3.99562e-05,0.00263537,DM,acetate,rel_area_phosphate
0.00730553,0.000743339,0.00281031,DM,acetate,rel_area_phosphate
0.00740422,-0.00227788,0.0029862,DM,acetate,rel_area_phosphate
0.00741475,-0.00199365,0.00313346,DM,acetate,rel_area_phosphate
0.0073863,-0.00264638,0.00340874,DM,acetate,rel_area_phosphate
0.00743048,-0.00201987,0.00354002,DM,acetate,rel_area_phosphate
0.00728627,0.000249367,0.00381957,DM,acetate,rel_area_phosphate
0.00734025,-0.00150079,0.00594528,DM,acetate,rel_area_phosphate
0.00730038,0.00247863,0.0052651,DM,acetate,rel_area_phosphate
0.00733432,7.86667e-05,0.00460012,DM,acetate,rel_area_phosphate
0.00737528,-0.00198574,0.00402845,DM,acetate,rel_area_phosphate
0.00724981,0.000581158,0.00366204,DM,acetate,rel_area_phosphate
0.00726763,-0.000788014,0.0053583,DM,acetate,rel_area_phosphate
0.00727098,-0.00144904,0.00534475,DM,acetate,rel_area_phosphate
0.00730683,-0.0021799,0.00484492,DM,acetate,rel_area_phosphate
0.00743036,-0.00221509,0.00508379,DM,acetate,rel_area_phosphate
0.00739627,-0.00386616,0.00491775,DM,acetate,rel_area_phosphate
0.00718125,0.00310102,0.00458761,DM,acetate,rel_area_phosphate
0.00712456,0.00219723,0.00436472,DM,acetate,rel_area_phosphate
0.00709217,0.0028362,0.00408981,DM,acetate,rel_area_phosphate
0.00740346,-0.00177703,0.00694665,DM,acetate,rel_area_phosphate
0.00739196,-0.000368527,0.00471745,DM,acetate,rel_area_phosphate
0.00721902,-0.00162684,0.00554744,DM,acetate,rel_area_phosphate
0.00763678,-0.00281047,0.00482653,DM,acetate,rel_area_phosphate
0.0070741,0.00268622,0.0057161,DM,acetate,rel_area_phosphate
0.00720792,0.000785669,0.0060423,DM,acetate,rel_area_phosphate
0.00745455,-0.00204293,0.00327346,DM,acetate,rel_area_phosphate
0.00745164,-0.00146932,0.00371212,DM,acetate,rel_area_phosphate
0.00709015,0.00289706,0.00565874,DM,acetate,rel_area_phosphate
0.00716701,0.00144161,0.00352377,DM,acetate,rel_area_phosphate
0.00728286,0.000767281,0.00751123,DM,acetate,rel_area_phosphate
0.00707339,0.00231017,0.00499691,DM,acetate,rel_area_phosphate
0.00734847,-0.00101812,0.00423719,DM,acetate,rel_area_phosphate
0.0073601,-0.000882569,0.00368261,DM,acetate,rel_area_phosphate
0.00725609,0.0013018,0.00434751,DM,acetate,rel_area_phosphate
0.00741385,-0.000974731,0.00425666,DM,acetate,rel_area_phosphate
0.00744498,-0.00213833,0.00447403,DM,acetate,rel_area_phosphate
0.00727302,-9.34714e-06,0.00284878,DM,acetate,rel_area_phosphate
0.00741573,-0.00269611,0.00344909,DM,acetate,rel_area_phosphate
0.00717035,0.000512721,0.00766967,DM,acetate,rel_area_phosphate
0.00769293,-0.00393195,0.00369439,DM,acetate,rel_area_phosphate
0.00754757,-0.00412614,0.00447784,DM,acetate,rel_area_phosphate
0.00741513,-0.00387284,0.00464117,DM,acetate,rel_area_phosphate
0.00742639,-0.00375886,0.00507939,DM,acetate,rel_area_phosphate
0.00743205,0.000370974,0.00488488,DM,acetate,rel_area_phosphate
0.0072239,-0.00110961,0.00435197,DM,acetate,rel_area_phosphate
0.00704273,0.00140177,0.00536815,DM,acetate,rel_area_phosphate
0.0075801,-0.00324635,0.00417172,DM,acetate,rel_area_phosphate
0.0072872,0.0012771,0.00513647,DM,acetate,rel_area_phosphate
0.00724968,-0.000451229,0.00407695,DM,acetate,rel_area_phosphate
0.00727095,-0.000582282,0.00281316,DM,acetate,rel_area_phosphate
0.00744011,-0.00111329,0.00444244,DM,acetate,rel_area_phosphate
0.00734843,-0.00367119,0.00533159,DM,acetate,rel_area_phosphate
0.00727475,-0.00266382,0.00532239,DM,acetate,rel_area_phosphate
0.00728123,-0.00236481,0.00588917,DM,acetate,rel_area_phosphate
0.00735131,-0.00365487,0.00452947,DM,acetate,rel_area_phosphate
0.00727982,-0.000918737,0.00691332,DM,acetate,rel_area_phosphate
0.00733481,-0.00466784,0.00581424,DM,acetate,rel_area_phosphate
0.00725044,-0.00387019,0.00840356,DM,acetate,rel_area_phosphate
0.00717143,0.00223093,0.0050467,DM,acetate,rel_area_phosphate
0.00748392,-0.00355705,0.0036244,DM,acetate,rel_area_phosphate
0.00724585,0.00217805,0.00461812,DM,acetate,rel_area_phosphate
0.00729948,-0.000529849,0.00438438,DM,acetate,rel_area_phosphate
0.00729057,-0.000893716,0.00589638,DM,acetate,rel_area_phosphate
0.00732639,0.000844856,0.00325507,DM,acetate,rel_area_phosphate
0.0074042,-0.00253322,0.00494723,DM,acetate,rel_area_phosphate
0.00728711,-0.0015513,0.00520391,DM,acetate,rel_area_phosphate
0.00728536,-0.00165223,0.00537122,DM,acetate,rel_area_phosphate
0.00735447,-0.00100108,0.00443558,DM,acetate,rel_area_phosphate
0.00730753,-0.00213131,0.0050522,DM,acetate,rel_area_phosphate
0.00727023,0.000205557,0.00372979,DM,acetate,rel_area_phosphate
0.00740241,-0.00203318,0.00433465,DM,acetate,rel_area_phosphate
0.00738262,-0.00135856,0.00371895,DM,acetate,rel_area_phosphate
